228	59 | 2 | 5/2 | 1/2
229	61 | 0 | 1/2 | 1/2
230	58 | 3 | 7/2 | 1/2
231	58 | 3 | 5/2 | 1/2
232	58 | 4 | 7/2 | 1/2
233	58 | 4 | 9/2 | 1/2
234	58 | 5 | 9/2 | 1/2
235	58 | 5 | 11/2 | 1/2
236	58 | 6 | 11/2 | 1/2
237	58 | 6 | 13/2 | 1/2
238	58 | 7 | 13/2 | 1/2
239	58 | 7 | 15/2 | 1/2
240	58 | 8 | 15/2 | 1/2
241	58 | 8 | 17/2 | 1/2
242	58 | 9 | 17/2 | 1/2
243	58 | 9 | 19/2 | 1/2
244	58 | 10 | 19/2 | 1/2
245	58 | 10 | 21/2 | 1/2
246	58 | 11 | 21/2 | 1/2
247	58 | 11 | 23/2 | 1/2
248	58 | 12 | 23/2 | 1/2
249	58 | 12 | 25/2 | 1/2
250	58 | 13 | 25/2 | 1/2
251	58 | 13 | 27/2 | 1/2
252	58 | 14 | 27/2 | 1/2
253	58 | 14 | 29/2 | 1/2
254	58 | 15 | 29/2 | 1/2
255	58 | 15 | 31/2 | 1/2
256	58 | 16 | 31/2 | 1/2
257	58 | 16 | 33/2 | 1/2
258	58 | 17 | 33/2 | 1/2
259	58 | 17 | 35/2 | 1/2
260	58 | 18 | 35/2 | 1/2
261	58 | 18 | 37/2 | 1/2
262	58 | 19 | 37/2 | 1/2
263	58 | 19 | 39/2 | 1/2
264	58 | 20 | 39/2 | 1/2
265	58 | 20 | 41/2 | 1/2
266	58 | 21 | 41/2 | 1/2
267	58 | 21 | 43/2 | 1/2
268	58 | 22 | 43/2 | 1/2
269	58 | 22 | 45/2 | 1/2
270	58 | 23 | 45/2 | 1/2
271	58 | 23 | 47/2 | 1/2
272	58 | 24 | 47/2 | 1/2
273	58 | 24 | 49/2 | 1/2
274	58 | 25 | 49/2 | 1/2
275	58 | 25 | 51/2 | 1/2
276	58 | 26 | 51/2 | 1/2
277	58 | 26 | 53/2 | 1/2
278	58 | 27 | 53/2 | 1/2
279	58 | 27 | 55/2 | 1/2
280	58 | 28 | 55/2 | 1/2
281	58 | 28 | 57/2 | 1/2
282	58 | 29 | 57/2 | 1/2
283	58 | 29 | 59/2 | 1/2
284	58 | 30 | 59/2 | 1/2
285	58 | 30 | 61/2 | 1/2
286	58 | 31 | 61/2 | 1/2
287	58 | 31 | 63/2 | 1/2
288	58 | 32 | 63/2 | 1/2
289	58 | 32 | 65/2 | 1/2
290	58 | 33 | 65/2 | 1/2
291	58 | 33 | 67/2 | 1/2
292	58 | 34 | 67/2 | 1/2
293	58 | 34 | 69/2 | 1/2
